Country,Surname
AL,Abazi
AL,Begu
AL,Bektashi
AL,Berisha
AL,Delvina
AL,Dervishi
AL,Dibra
AL,Frashëri
AL,Gashi
AL,Gegaj
AL,Gjika
AL,Gjoni
AL,Gjoni
AL,Halili
AL,Hasani
AL,Hoxha
AL,Hysi
AL,Kelmendi
AL,Kolla
AL,Koroveshi
AL,Kristo
AL,Kuqi
AL,Laçi
AL,Marku
AL,Murati
AL,Nikolla
AL,Prifti
AL,Prishtina
AL,Përmeti
AL,Toskaj
AM,Arakelyan
AM,Avetisyan
AM,Davtyan
AM,Gevorgyan
AM,Ghazaryan
AM,Grigoryan
AM,Hakobyan
AM,Harutyunyan
AM,Hovhannisyan
AM,Karapetyan
AM,Khachatryan
AM,Manukyan
AM,Margaryan
AM,Martirosyan
AM,Mkrtchyan
AM,Petrosyan
AM,Poghosyan
AM,Sahakyan
AM,Sargsyan
AM,Vardanyan
AR,Arias
AR,Blanco
AR,Cabrera
AR,Carrizo
AR,Castro
AR,Cohen
AR,Colombo
AR,Costa
AR,Delgado
AR,Díaz
AR,Figueroa
AR,Flores
AR,Gallo
AR,Godoy
AR,González
AR,Herrera
AR,Ibáñez
AR,Iglesias
AR,Lorenzo
AR,López
AR,Moreno
AR,Méndez
AR,Otero
AR,Romano
AR,Silva
AR,Soria
AR,Sánchez
AR,Torres
AR,Varela
AR,Vera
AT,Aigner
AT,Auer
AT,Bauer
AT,Berger
AT,Binder
AT,Brunner
AT,Ebner
AT,Eder
AT,Egger
AT,Fuchs
AT,Gruber
AT,Heilig
AT,Hofer
AT,Huber
AT,Lang
AT,Lechner
AT,Lehner
AT,Maier
AT,Mayer
AT,Müller
AT,Pichler
AT,Reiter
AT,Schmid
AT,Schuster
AT,Steiner
AT,Wagner
AT,Weber
AT,Wimmer
AT,Winkler
AT,Wolf
AU,Anderson
AU,Brown
AU,Harris
AU,Johnson
AU,Jones
AU,Kelly
AU,Lee
AU,Martin
AU,Murphy
AU,Nguyen
AU,Robinson
AU,Ryan
AU,Smith
AU,Taylor
AU,Thompson
AU,Turner
AU,Walker
AU,White
AU,Williams
AU,Wilson
AZ,Abbasov
AZ,Abdullayev
AZ,Ahmadov
AZ,Aliyev
AZ,Guliyev
AZ,Hasanov
AZ,Huseynov
AZ,Ismayilov
AZ,Jafarov
AZ,Mammadov
BA,Adilović
BA,Božić
BA,Delemović
BA,Delić
BA,Demirović
BA,Golubović
BA,Hadžić
BA,Hodžić
BA,Ibrahimović
BA,Ilić
BA,Jovanović
BA,Knežević
BA,Kovačević
BA,Lukić
BA,Marić
BA,Marković
BA,Mehmedović
BA,Muratović
BA,Petrović
BA,Popović
BA,Radić
BA,Salihović
BA,Suljić
BA,Tahirović
BA,Terzić
BA,Tomić
BA,Vujić
BA,Zukić
BA,Đukić
BA,Đurić
BD,Ahmed
BD,Akter
BD,Hossain
BD,Islam
BD,Khatun
BD,Rahman
BE,Bah
BE,Barry
BE,Benali
BE,Claes
BE,De Smet
BE,Denis
BE,Diallo
BE,Dubois
BE,Dumont
BE,Dupont
BE,Goossens
BE,Jacobs
BE,Janssens
BE,Lambert
BE,Laurent
BE,Leclercq
BE,Lejeune
BE,Maes
BE,Martin
BE,Mertens
BE,Nguyen
BE,Peeters
BE,Simon
BE,Sow
BE,Willems
BE,Wouters
BG,Angelov
BG,Angelova
BG,Dimitrov
BG,Dimitrova
BG,Georgiev
BG,Georgieva
BG,Hristov
BG,Hristova
BG,Iliev
BG,Ilieva
BG,Ivanov
BG,Ivanova
BG,Nikolov
BG,Nikolova
BG,Petrov
BG,Petrova
BG,Stoyanov
BG,Stoyanova
BG,Todorov
BG,Todorova
BR,Almeida
BR,Alves
BR,Araújo
BR,Azevedo
BR,Barbosa
BR,Cardoso
BR,Carvalho
BR,Cavalcanti
BR,Correa
BR,Correia
BR,Dias
BR,Fernandes
BR,Ferreira
BR,Gomes
BR,Gonçalves
BR,Lima
BR,Martins
BR,Montes
BR,Morais
BR,Oliveira
BR,Pereira
BR,Ribeiro
BR,Rocha
BR,Rodrigues
BR,Santos
BR,Schmidt
BR,Schmitz
BR,Silva
BR,Sousa
BR,Teixeira
BY,Ivanoŭ
BY,Kavalioŭ
BY,Kazloŭ
BY,Kazloŭski
BY,Novik
BY,
BY,
BY,
BY,
BY,
CA,Brown
CA,Gagnon
CA,Johnson
CA,Lee
CA,MacDonald
CA,Martin
CA,Roy
CA,Smith
CA,Tremblay
CA,Wilson
CH,Baumann
CH,Brunner
CH,Fischer
CH,Frei
CH,Gerber
CH,Huber
CH,Keller
CH,Meier
CH,Meyer
CH,Moser
CH,Müller
CH,Schmid
CH,Schneider
CH,Steiner
CH,Weber
CL,Bustos
CL,Carrasco
CL,Cortés
CL,Donoso
CL,Escobar
CL,Espinoza
CL,Figueroa
CL,Gallardo
CL,Garrido
CL,González
CL,Guerrero
CL,Jiménez
CL,Leiva
CL,López
CL,Miranda
CL,Molina
CL,Morales
CL,Palma
CL,Pérez
CL,Reyes
CL,Riquelme
CL,Ruiz
CL,Sepúlveda
CL,Sáez
CL,Sánchez
CL,Torres
CL,Valdés
CL,Vera
CL,Vidal
CL,Álvarez
CN,Chan
CN,Cheung
CN,Chiu
CN,Chow
CN,Chu
CN,Chén
CN,Guō
CN,Gāo
CN,Ho
CN,Huáng
CN,Ko
CN,Kwok
CN,Lam
CN,Law
CN,Lee
CN,Liú
CN,Lín
CN,Lǐ
CN,Ma
CN,Mǎ
CN,Ng
CN,Tsui
CN,Wong
CN,Wong
CN,Wu
CN,Wáng
CN,Wú
CN,Yeung
CN,Zhāng
CN,Zhū
CO,Díaz
CO,García
CO,González
CO,Gómez
CO,Hernández
CO,Jiménez
CO,López
CO,Martínez
CO,Moreno
CO,Muñoz
CO,Pérez
CO,Ramírez
CO,Rodríguez
CO,Rojas
CO,Sánchez
CR,Araya
CR,Calderón
CR,González
CR,Gutiérrez
CR,Hernández
CR,Herrera
CR,Jiménez
CR,López
CR,Madrigal
CR,Mora
CR,Morales
CR,Pérez
CR,Ramírez
CR,Rodríguez
CR,Rojas
CR,Salas
CR,Segura
CR,Sánchez
CR,Torres
CR,Valverde
CR,Vargas
CR,Villalobos
CU,Castillo
CU,Cruz
CU,De Los Santos
CU,Díaz
CU,Fernández
CU,Fuentes
CU,García
CU,González
CU,Guzmán
CU,Gómez
CU,Hernández
CU,Jiménez
CU,López
CU,Martinez
CU,Mejía
CU,Montes
CU,Núñez
CU,Peña
CU,Ponce
CU,Pérez
CU,Ramírez
CU,Reyes
CU,Rodríguez
CU,Rosario
CU,Santana
CU,Santos
CU,Sánchez
CU,Vargas
CU,Vásquez
CU,de la Cruz
CZ,Dvořák
CZ,Dvořáková
CZ,Horák
CZ,Horáková
CZ,Kučera
CZ,Kučerová
CZ,Novotná
CZ,Novotný
CZ,Novák
CZ,Nováková
CZ,Němcová
CZ,Němec
CZ,Procházka
CZ,Procházková
CZ,Svoboda
CZ,Svobodová
CZ,Veselá
CZ,Veselý
CZ,Černá
CZ,Černý
DE,Becker
DE,Fischer
DE,Hoffmann
DE,Meyer
DE,Müller
DE,Schmidt
DE,Schneider
DE,Schulz
DE,Wagner
DE,Weber
DK,Andersen
DK,Christensen
DK,Christiansen
DK,Hansen
DK,Jensen
DK,Johansen
DK,Jørgensen
DK,Kristensen
