venue_name,domain,subject_area,ranking_source,raw_metric,prestige_label,prestige_score
Chemical Engineering Science: X,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Open Biology,Science,Biochemistry,SCImago (SJR 2024),Q1,Elite,4
Epigenomes,Science,Biochemistry,SCImago (SJR 2024),Q1,Elite,4
Physics of Life Reviews,Science,Physics,SCImago (SJR 2024),Q1,Elite,4
"Selecta Mathematica, New Series",Science,Physics,SCImago (SJR 2024),Q1,Elite,4
STAR Protocols,Science,Biochemistry,SCImago (SJR 2024),Q1,Elite,4
International Journal of Multiphase Flow,Science,Physics,SCImago (SJR 2024),Q1,Elite,4
General Relativity and Gravitation,Science,Physics,SCImago (SJR 2024),Q1,Elite,4
Corrosion Science,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Contemporary Physics,Science,Physics,SCImago (SJR 2024),Q1,Elite,4
Nature Materials,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Methods,Science,Biochemistry,SCImago (SJR 2024),Q1,Elite,4
Chaos Theory and Applications,Science,Multidisciplinary,SCImago (SJR 2024),Q1,Elite,4
Journal of Materials Chemistry B,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Chemical Engineering Journal Advances,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Catalysis Today,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Fire Safety Journal,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Chemical Synthesis,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Molecular Systems Biology,Science,Biochemistry,SCImago (SJR 2024),Q1,Elite,4
Environmental Science and Technology,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Polymer Reviews,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Geoscience Letters,Science,Earth,SCImago (SJR 2024),Q1,Elite,4
ACS Central Science,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Journal of Zhejiang University: Science B,Science,Biochemistry,SCImago (SJR 2024),Q1,Elite,4
Chem,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Journal of Translational Medicine,Science,Biochemistry,SCImago (SJR 2024),Q1,Elite,4
Earth System Dynamics,Science,Earth,SCImago (SJR 2024),Q1,Elite,4
Frontiers in Molecular Biosciences,Science,Biochemistry,SCImago (SJR 2024),Q1,Elite,4
Advanced Functional Materials,Science,Chemistry,SCImago (SJR 2024),Q1,Elite,4
Natural Hazards Research,Science,Earth,SCImago (SJR 2024),Q1,Elite,4
Journal of Sol-Gel Science and Technology,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
Particle and Particle Systems Characterization,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
Chemical Research in Chinese Universities,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
ACS Omega,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
Bacteria,Science,Biochemistry,SCImago (SJR 2024),Q2,High,3
Discover Food,Science,Biochemistry,SCImago (SJR 2024),Q2,High,3
Frontiers in Physics,Science,Physics,SCImago (SJR 2024),Q2,High,3
Canadian Journal of Remote Sensing,Science,Earth,SCImago (SJR 2024),Q2,High,3
Tongji Daxue Xuebao/Journal of Tongji University,Science,Multidisciplinary,SCImago (SJR 2024),Q2,High,3
Geomicrobiology Journal,Science,Earth,SCImago (SJR 2024),Q2,High,3
Sensors and Diagnostics,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
Canadian Journal of Earth Sciences,Science,Earth,SCImago (SJR 2024),Q2,High,3
